NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,longitude,latitude
510313002039,VA-075-0750330,5103130,VA-075,PK,05,A. Henderson Elementary,PRINCE WILLIAM CO PBLC SCHS,Prince William County,3799 Waterway Dr,Dumfries,VA,22025,,(703)670-2885,21,Suburb: Large,No,No,No,†,628.00000,33.34000,18.8000000,105.00000,36.00000,-77.3438177,38.6216247
510003301933,VA-268-2680010,5100033,VA-268,†,†,A. Linwood Holton Governor's School,A. LINWOOD HOLTON GOV SCH,Washington County,Southwest Va Higher Ed Center,Abingdon,VA,24212,,(276)469-4027,23,Suburb: Small,No,Yes,†,†,†,–,†,†,†,-81.99951899999999,36.69667
510105000374,VA-024-0240240,5101050,VA-024,PK,05,A.G. Richardson Elementary,CULPEPER CO PBLC SCHS,Culpeper County,18370 Simms Dr,Culpeper,VA,22701,,(540)825-0616,32,Town: Distant,No,No,No,†,563.00000,39.00000,14.4000000,201.00000,50.00000,-78.01378299999999,38.445785
510084000314,VA-021-0210620,5100840,VA-021,PK,05,A.M. Davis Elementary,CHESTERFIELD CO PBLC SCHS,Chesterfield County,415 S Providence Rd,North Chesterfield,VA,23236,3343,(804)674-1310,21,Suburb: Large,No,No,Yes,Yes,657.00000,44.60000,14.7000000,300.00000,64.00000,-77.54619559999999,37.4913365
510291001202,VA-120-1200110,5102910,VA-120,KG,05,A.P. Hill Elementary,PETERSBURG CITY PBLC SCHS,Petersburg city,1450 Talley Avenue,Petersburg,VA,23803,,(804)862-7002,21,Suburb: Large,No,No,Yes,Yes,473.00000,33.86000,14.0000000,470.00000,0.00000,-77.4155985,37.2052
510387001729,VA-093-0930090,5103870,VA-093,KG,05,A.S. Rhodes Elementary,WARREN CO PBLC SCHS,Warren County,224 W Strasburg Rd,Front Royal,VA,22630,,(540)635-4556,31,Town: Fringe,No,No,Yes,Yes,274.00000,15.21000,18.0000000,83.00000,23.00000,-78.206344,38.948962
510180000725,VA-112-1120500,5101800,VA-112,PK,05,A.W.E. Bassette Elementary,HAMPTON CITY PBLC SCHS,Hampton city,671 Bell St,Hampton,VA,23661,,(757)727-1071,12,City: Midsize,No,No,Yes,Yes,499.00000,28.00000,17.8000000,435.00000,0.00000,-76.374858,37.015993
510381001645,VA-092-0921020,5103810,VA-092,PK,05,Abb's Valley-Boissevain Elementary,TAZEWELL CO PBLC SCHS,Tazewell County,P. O. Box 69,Boissevain,VA,24606,0069,(276)945-5969,42,Rural: Distant,No,No,Yes,Yes,174.00000,10.83000,16.1000000,159.00000,0.00000,-81.3792941,37.2853298
510180000726,VA-112-1120160,5101800,VA-112,PK,05,Aberdeen Elementary,HAMPTON CITY PBLC SCHS,Hampton city,1424 Aberdeen Rd,Hampton,VA,23666,,(757)825-4624,12,City: Midsize,No,No,Yes,Yes,470.00000,29.00000,16.2000000,415.00000,0.00000,-76.4052519,37.0335532
510162000677,VA-036-0360250,5101620,VA-036,PK,05,Abingdon Elementary,GLOUCESTER CO PBLC SCHS,Gloucester County,7087 Powhatan Drive,Hayes,VA,23072,,(804)642-9885,21,Suburb: Large,No,No,Yes,No,621.00000,35.00000,17.7000000,243.00000,49.00000,-76.5132823,37.2922523
